unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HRAD;setembro;2021;VI;25 a 29;55,00;0;0;0,00
HRAD;setembro;2021;VII;30 a 34;75,00;1;1;0,75
HRAD;setembro;2021;VIII;> 34;85,00;0;0;0,00
HRAD;outubro;2021;I;0 a 4;4,00;0;0;0,00
HRAD;outubro;2021;II;5 a 9;8,00;1;0;0,08
HRAD;outubro;2021;III;10 a 14;15,00;6;0;0,90
HRAD;outubro;2021;IV;15 a 19;25,00;3;0;0,75
HRAD;outubro;2021;V;20 a 24;40,00;10;2;4,00
HRAD;outubro;2021;VI;25 a 29;55,00;3;2;1,65
HRAD;outubro;2021;VII;30 a 34;75,00;0;0;0,00
HRAD;outubro;2021;VIII;> 34;85,00;0;0;0,00
HRAD;novembro;2021;I;0 a 4;4,00;0;0;0,00
HRAD;novembro;2021;II;5 a 9;8,00;4;0;0,32
HRAD;novembro;2021;III;10 a 14;15,00;4;1;0,60
HRAD;novembro;2021;IV;15 a 19;25,00;5;0;1,25
HRAD;novembro;2021;V;20 a 24;40,00;3;1;1,20
HRAD;novembro;2021;VI;25 a 29;55,00;4;3;2,20
HRAD;novembro;2021;VII;30 a 34;75,00;0;0;0,00
HRAD;novembro;2021;VIII;> 34;85,00;0;0;0,00
HRAD;dezembro;2021;I;0 a 4;4,00;0;0;0,00
HRAD;dezembro;2021;II;5 a 9;8,00;3;0;0,24
HRAD;dezembro;2021;III;10 a 14;15,00;3;0;0,45
HRAD;dezembro;2021;IV;15 a 19;25,00;8;2;2,00
HRAD;dezembro;2021;V;20 a 24;40,00;7;0;2,80
HRAD;dezembro;2021;VI;25 a 29;55,00;5;3;2,75
HRAD;dezembro;2021;VII;30 a 34;75,00;0;0;0,00
HRAD;dezembro;2021;VIII;> 34;85,00;0;0;0,00
HJXXIII;janeiro;2021;I;0 a 4;4,00;13;0;0,52
HJXXIII;janeiro;2021;II;5 a 9;8,00;34;1;2,72
HJXXIII;janeiro;2021;III;10 a 14;15,00;39;4;5,85
HJXXIII;janeiro;2021;IV;15 a 19;25,00;27;4;6,75
HJXXIII;janeiro;2021;V;20 a 24;40,00;9;6;3,60
HJXXIII;janeiro;2021;VI;25 a 29;55,00;7;4;3,85
HJXXIII;janeiro;2021;VII;30 a 34;75,00;3;3;2,25
HJXXIII;janeiro;2021;VIII;> 34;85,00;0;0;0,00
HJXXIII;fevereiro;2021;I;0 a 4;4,00;18;0;0,72
HJXXIII;fevereiro;2021;II;5 a 9;8,00;30;6;2,40
HJXXIII;fevereiro;2021;III;10 a 14;15,00;39;6;5,85
HJXXIII;fevereiro;2021;IV;15 a 19;25,00;19;7;4,75
HJXXIII;fevereiro;2021;V;20 a 24;40,00;5;2;2,00
HJXXIII;fevereiro;2021;VI;25 a 29;55,00;4;2;2,20
HJXXIII;fevereiro;2021;VII;30 a 34;75,00;1;0;0,75
HJXXIII;fevereiro;2021;VIII;> 34;85,00;0;0;0,00
HJXXIII;março;2021;I;0 a 4;4,00;17;0;0,68
HJXXIII;março;2021;II;5 a 9;8,00;33;2;2,64
HJXXIII;março;2021;III;10 a 14;15,00;44;7;6,60
HJXXIII;março;2021;IV;15 a 19;25,00;31;14;7,75
HJXXIII;março;2021;V;20 a 24;40,00;18;10;7,20
HJXXIII;março;2021;VI;25 a 29;55,00;6;4;3,30
HJXXIII;março;2021;VII;30 a 34;75,00;3;0;2,25
HJXXIII;março;2021;VIII;> 34;85,00;0;0;0,00
HJXXIII;abril;2021;I;0 a 4;4,00;5;0;0,20
HJXXIII;abril;2021;II;5 a 9;8,00;19;1;1,52
HJXXIII;abril;2021;III;10 a 14;15,00;25;4;3,75
HJXXIII;abril;2021;IV;15 a 19;25,00;39;6;9,75
HJXXIII;abril;2021;V;20 a 24;40,00;22;8;8,80
HJXXIII;abril;2021;VI;25 a 29;55,00;12;8;6,60
HJXXIII;abril;2021;VII;30 a 34;75,00;2;2;1,50
HJXXIII;abril;2021;VIII;> 34;85,00;0;0;0,00
HJXXIII;maio;2021;I;0 a 4;4,00;2;1;0,08
HJXXIII;maio;2021;II;5 a 9;8,00;24;0;1,92
HJXXIII;maio;2021;III;10 a 14;15,00;28;4;4,20
HJXXIII;maio;2021;IV;15 a 19;25,00;39;4;9,75
HJXXIII;maio;2021;V;20 a 24;40,00;18;8;7,20
HJXXIII;maio;2021;VI;25 a 29;55,00;9;7;4,95
HJXXIII;maio;2021;VII;30 a 34;75,00;5;4;3,75
HJXXIII;maio;2021;VIII;> 34;85,00;0;0;0,00
HJXXIII;junho;2021;I;0 a 4;4,00;2;0;0,08
HJXXIII;junho;2021;II;5 a 9;8,00;22;1;1,76
HJXXIII;junho;2021;III;10 a 14;15,00;34;0;5,10
HJXXIII;junho;2021;IV;15 a 19;25,00;21;4;5,25
HJXXIII;junho;2021;V;20 a 24;40,00;29;7;11,60
HJXXIII;junho;2021;VI;25 a 29;55,00;6;4;3,30
HJXXIII;junho;2021;VII;30 a 34;75,00;4;1;3,00
HJXXIII;junho;2021;VIII;> 34;85,00;0;0;0,00
HJXXIII;julho;2021;I;0 a 4;4,00;2;0;0,08
HJXXIII;julho;2021;II;5 a 9;8,00;32;0;2,56
HJXXIII;julho;2021;III;10 a 14;15,00;35;1;5,25
HJXXIII;julho;2021;IV;15 a 19;25,00;35;3;8,75
HJXXIII;julho;2021;V;20 a 24;40,00;21;9;8,40
HJXXIII;julho;2021;VI;25 a 29;55,00;7;2;3,85
HJXXIII;julho;2021;VII;30 a 34;75,00;3;3;2,25
HJXXIII;julho;2021;VIII;> 34;85,00;3;2;2,55
HJXXIII;agosto;2021;I;0 a 4;4,00;2;0;0,08
HJXXIII;agosto;2021;II;5 a 9;8,00;32;0;2,56
HJXXIII;agosto;2021;III;10 a 14;15,00;35;1;5,25
HJXXIII;agosto;2021;IV;15 a 19;25,00;35;3;8,75
HJXXIII;agosto;2021;V;20 a 24;40,00;21;9;8,40
HJXXIII;agosto;2021;VI;25 a 29;55,00;7;2;3,85
HJXXIII;agosto;2021;VII;30 a 34;75,00;3;3;2,25
HJXXIII;agosto;2021;VIII;> 34;85,00;3;2;2,55
HJXXIII;setembro;2021;I;0 a 4;4,00;5;0;0,20
HJXXIII;setembro;2021;II;5 a 9;8,00;15;0;1,20
HJXXIII;setembro;2021;III;10 a 14;15,00;43;2;6,45
HJXXIII;setembro;2021;IV;15 a 19;25,00;35;7;8,75
HJXXIII;setembro;2021;V;20 a 24;40,00;20;7;8,00
HJXXIII;setembro;2021;VI;25 a 29;55,00;10;5;5,50
HJXXIII;setembro;2021;VII;30 a 34;75,00;2;2;1,50
