unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HAC;abril;2021;V;20 a 24;40,00;4;2;1,60
HAC;abril;2021;VI;25 a 29;55,00;4;3;2,20
HAC;abril;2021;VII;30 a 34;75,00;4;4;3,00
HAC;abril;2021;VIII;> 34;85,00;0;0;0,00
HAC;maio;2021;I;0 a 4;4,00;0;0;0,00
HAC;maio;2021;II;5 a 9;8,00;6;0;0,48
HAC;maio;2021;III;10 a 14;15,00;13;0;1,95
HAC;maio;2021;IV;15 a 19;25,00;11;0;2,75
HAC;maio;2021;V;20 a 24;40,00;5;0;2,00
HAC;maio;2021;VI;25 a 29;55,00;1;0;0,55
HAC;maio;2021;VII;30 a 34;75,00;1;1;0,75
HAC;maio;2021;VIII;> 34;85,00;0;0;0,00
HAC;junho;2021;I;0 a 4;4,00;1;0;0,04
HAC;junho;2021;II;5 a 9;8,00;3;0;0,24
HAC;junho;2021;III;10 a 14;15,00;19;0;2,85
HAC;junho;2021;IV;15 a 19;25,00;13;0;3,25
HAC;junho;2021;V;20 a 24;40,00;8;2;3,20
HAC;junho;2021;VI;25 a 29;55,00;3;3;1,65
HAC;junho;2021;VII;30 a 34;75,00;4;3;3,00
HAC;junho;2021;VIII;> 34;85,00;2;2;1,70
HAC;julho;2021;I;0 a 4;4,00;3;0;0,12
HAC;julho;2021;II;5 a 9;8,00;9;0;0,72
HAC;julho;2021;III;10 a 14;15,00;14;0;2,10
HAC;julho;2021;IV;15 a 19;25,00;8;1;2,00
HAC;julho;2021;V;20 a 24;40,00;8;0;3,20
HAC;julho;2021;VI;25 a 29;55,00;3;0;1,65
HAC;julho;2021;VII;30 a 34;75,00;4;1;3,00
HAC;julho;2021;VIII;> 34;85,00;1;1;0,85
HAC;agosto;2021;I;0 a 4;4,00;4;0;0,16
HAC;agosto;2021;II;5 a 9;8,00;12;0;0,96
HAC;agosto;2021;III;10 a 14;15,00;11;2;1,65
HAC;agosto;2021;IV;15 a 19;25,00;8;0;2,00
HAC;agosto;2021;V;20 a 24;40,00;5;2;2,00
HAC;agosto;2021;VI;25 a 29;55,00;3;0;1,65
HAC;agosto;2021;VII;30 a 34;75,00;2;2;1,50
HAC;agosto;2021;VIII;> 34;85,00;5;3;4,25
HAC;setembro;2021;I;0 a 4;4,00;2;0;0,08
HAC;setembro;2021;II;5 a 9;8,00;7;0;0,56
HAC;setembro;2021;III;10 a 14;15,00;12;1;1,80
HAC;setembro;2021;IV;15 a 19;25,00;18;2;4,50
HAC;setembro;2021;V;20 a 24;40,00;4;2;1,60
HAC;setembro;2021;VI;25 a 29;55,00;5;2;2,75
HAC;setembro;2021;VII;30 a 34;75,00;0;0;0,00
HAC;setembro;2021;VIII;> 34;85,00;0;0;0,00
HAC;outubro;2021;I;0 a 4;4,00;2;0;0,08
HAC;outubro;2021;II;5 a 9;8,00;4;1;0,32
HAC;outubro;2021;III;10 a 14;15,00;15;2;2,25
HAC;outubro;2021;IV;15 a 19;25,00;20;2;5,00
HAC;outubro;2021;V;20 a 24;40,00;4;0;1,60
HAC;outubro;2021;VI;25 a 29;55,00;0;0;0,00
HAC;outubro;2021;VII;30 a 34;75,00;1;1;0,75
HAC;outubro;2021;VIII;> 34;85,00;0;0;0,00
HAC;novembro;2021;I;0 a 4;4,00;0;0;0,00
HAC;novembro;2021;II;5 a 9;8,00;4;0;0,32
HAC;novembro;2021;III;10 a 14;15,00;9;0;1,35
HAC;novembro;2021;IV;15 a 19;25,00;11;3;2,75
HAC;novembro;2021;V;20 a 24;40,00;7;4;2,80
HAC;novembro;2021;VI;25 a 29;55,00;3;2;1,65
HAC;novembro;2021;VII;30 a 34;75,00;0;0;0,00
HAC;novembro;2021;VIII;> 34;85,00;2;2;1,70
HAC;dezembro;2021;I;0 a 4;4,00;3;1;0,12
HAC;dezembro;2021;II;5 a 9;8,00;8;1;0,64
HAC;dezembro;2021;III;10 a 14;15,00;13;3;1,95
HAC;dezembro;2021;IV;15 a 19;25,00;3;2;0,75
HAC;dezembro;2021;V;20 a 24;40,00;2;1;0,80
HAC;dezembro;2021;VI;25 a 29;55,00;2;1;1,10
HAC;dezembro;2021;VII;30 a 34;75,00;0;0;0,00
HAC;dezembro;2021;VIII;> 34;85,00;1;1;0,85
HRJP;janeiro;2021;I;0 a 4;4,00;3;0;0,12
HRJP;janeiro;2021;II;5 a 9;8,00;3;1;0,24
HRJP;janeiro;2021;III;10 a 14;15,00;21;1;3,15
HRJP;janeiro;2021;IV;15 a 19;25,00;26;9;6,50
HRJP;janeiro;2021;V;20 a 24;40,00;10;5;4,00
HRJP;janeiro;2021;VI;25 a 29;55,00;0;0;0,00
HRJP;janeiro;2021;VII;30 a 34;75,00;0;0;0,00
HRJP;janeiro;2021;VIII;> 34;85,00;0;0;0,00
HRJP;fevereiro;2021;I;0 a 4;4,00;2;0;0,08
HRJP;fevereiro;2021;II;5 a 9;8,00;3;1;0,24
HRJP;fevereiro;2021;III;10 a 14;15,00;5;0;0,75
HRJP;fevereiro;2021;IV;15 a 19;25,00;17;7;4,25
HRJP;fevereiro;2021;V;20 a 24;40,00;11;6;4,40
HRJP;fevereiro;2021;VI;25 a 29;55,00;4;2;2,20
HRJP;fevereiro;2021;VII;30 a 34;75,00;1;0;0,75
HRJP;fevereiro;2021;VIII;> 34;85,00;0;0;0,00
HRJP;março;2021;I;0 a 4;4,00;0;0;0,00
HRJP;março;2021;II;5 a 9;8,00;3;0;0,24
HRJP;março;2021;III;10 a 14;15,00;20;3;3,00
HRJP;março;2021;IV;15 a 19;25,00;30;9;7,50
HRJP;março;2021;V;20 a 24;40,00;6;3;2,40
HRJP;março;2021;VI;25 a 29;55,00;0;0;0,00
HRJP;março;2021;VII;30 a 34;75,00;0;0;0,00
HRJP;março;2021;VIII;> 34;85,00;0;0;0,00
HRJP;abril;2021;I;0 a 4;4,00;0;0;0,00
HRJP;abril;2021;II;5 a 9;8,00;2;0;0,16
HRJP;abril;2021;III;10 a 14;15,00;18;4;2,70
HRJP;abril;2021;IV;15 a 19;25,00;30;4;7,50
HRJP;abril;2021;V;20 a 24;40,00;7;3;2,80
HRJP;abril;2021;VI;25 a 29;55,00;0;0;0,00
HRJP;abril;2021;VII;30 a 34;75,00;0;0;0,00
HRJP;abril;2021;VIII;> 34;85,00;0;0;0,00
HRJP;maio;2021;I;0 a 4;4,00;0;0;0,00
HRJP;maio;2021;II;5 a 9;8,00;3;0;0,24
HRJP;maio;2021;III;10 a 14;15,00;22;3;3,30
HRJP;maio;2021;IV;15 a 19;25,00;25;4;6,25
HRJP;maio;2021;V;20 a 24;40,00;5;0;2,00
HRJP;maio;2021;VI;25 a 29;55,00;0;0;0,00
HRJP;maio;2021;VII;30 a 34;75,00;0;0;0,00
HRJP;maio;2021;VIII;> 34;85,00;0;0;0,00
HRJP;junho;2021;I;0 a 4;4,00;1;0;0,04
HRJP;junho;2021;II;5 a 9;8,00;2;0;0,16
HRJP;junho;2021;III;10 a 14;15,00;15;1;2,25
HRJP;junho;2021;IV;15 a 19;25,00;21;4;5,25
HRJP;junho;2021;V;20 a 24;40,00;12;3;4,80
HRJP;junho;2021;VI;25 a 29;55,00;0;0;0,00
HRJP;junho;2021;VII;30 a 34;75,00;0;0;0,00
HRJP;junho;2021;VIII;> 34;85,00;0;0;0,00
HRJP;julho;2021;I;0 a 4;4,00;1;0;0,04
HRJP;julho;2021;II;5 a 9;8,00;1;0;0,08
HRJP;julho;2021;III;10 a 14;15,00;9;1;1,35
HRJP;julho;2021;IV;15 a 19;25,00;16;2;4,00
HRJP;julho;2021;V;20 a 24;40,00;11;0;4,40
HRJP;julho;2021;VI;25 a 29;55,00;9;4;4,95
HRJP;julho;2021;VII;30 a 34;75,00;4;2;3,00
HRJP;julho;2021;VIII;> 34;85,00;3;0;2,55
HRJP;agosto;2021;I;0 a 4;4,00;1;0;0,04
HRJP;agosto;2021;II;5 a 9;8,00;0;0;0,00
HRJP;agosto;2021;III;10 a 14;15,00;7;1;1,05
HRJP;agosto;2021;IV;15 a 19;25,00;9;2;2,25
HRJP;agosto;2021;V;20 a 24;40,00;8;1;3,20
HRJP;agosto;2021;VI;25 a 29;55,00;4;4;2,20
HRJP;agosto;2021;VII;30 a 34;75,00;3;1;2,25
HRJP;agosto;2021;VIII;> 34;85,00;1;1;0,85
HRJP;setembro;2021;I;0 a 4;4,00;0;0;0,00
HRJP;setembro;2021;II;5 a 9;8,00;0;1;0,00
HRJP;setembro;2021;III;10 a 14;15,00;2;0;0,30
HRJP;setembro;2021;IV;15 a 19;25,00;1;1;0,25
HRJP;setembro;2021;V;20 a 24;40,00;3;2;1,20
HRJP;setembro;2021;VI;25 a 29;55,00;1;3;0,55
HRJP;setembro;2021;VII;30 a 34;75,00;1;1;0,75
HRJP;setembro;2021;VIII;> 34;85,00;0;2;0,00
HRJP;outubro;2021;I;0 a 4;4,00;0;0;0,00
HRJP;outubro;2021;II;5 a 9;8,00;0;0;0,00
HRJP;outubro;2021;III;10 a 14;15,00;1;0;0,15
HRJP;outubro;2021;IV;15 a 19;25,00;5;0;1,25
HRJP;outubro;2021;V;20 a 24;40,00;4;2;1,60
HRJP;outubro;2021;VI;25 a 29;55,00;1;2;0,55
HRJP;outubro;2021;VII;30 a 34;75,00;2;1;1,50
HRJP;outubro;2021;VIII;> 34;85,00;1;0;0,85
HRJP;novembro;2021;I;0 a 4;4,00;2;1;0,08
HRJP;novembro;2021;II;5 a 9;8,00;1;0;0,08
HRJP;novembro;2021;III;10 a 14;15,00;4;1;0,60
HRJP;novembro;2021;IV;15 a 19;25,00;6;0;1,50
HRJP;novembro;2021;V;20 a 24;40,00;3;2;1,20
HRJP;novembro;2021;VI;25 a 29;55,00;1;0;0,55
HRJP;novembro;2021;VII;30 a 34;75,00;0;0;0,00
HRJP;novembro;2021;VIII;> 34;85,00;0;1;0,00
HRJP;dezembro;2021;I;0 a 4;4,00;1;0;0,04
HRJP;dezembro;2021;II;5 a 9;8,00;2;0;0,16
HRJP;dezembro;2021;III;10 a 14;15,00;4;0;0,60
HRJP;dezembro;2021;IV;15 a 19;25,00;5;0;1,25
HRJP;dezembro;2021;V;20 a 24;40,00;3;1;1,20
HRJP;dezembro;2021;VI;25 a 29;55,00;2;0;1,10
HRJP;dezembro;2021;VII;30 a 34;75,00;1;1;0,75
HRJP;dezembro;2021;VIII;> 34;85,00;0;2;0,00
